EmployeeID,Gender,Age,EthnicGroup,WorkType,BusinessUnit,CostCentre,HireDate,RemainsEmployed,PayType,SeperationReason,AgeGroup,TenureDays,TernureMonths,LeaveBalance,SickDaysLast12Mths,CurrentSalary,CurrentEmployeeRating
23292,Female,64,Group A,Full Time,Hamilton,Manufacturing,12/9/1966,No,Salary,Voluntary,50+,18038,601,7,15,46000.0,3
22416,Female,68,Group A,Part Time,Auckland,Research,8/28/1968,Yes,Hourly,Voluntary,50+,17410,580,7,2,105000.0,1
22418,Female,64,Group A,Full Time,Hamilton,Research,6/10/1969,Yes,Salary,Voluntary,50+,17124,571,16,4,80000.0,2
23098,Female,62,Group A,Full Time,Wellington,Exec Mgmt,6/26/1969,Yes,Hourly,Voluntary,50+,17108,570,17,5,171000.0,4
33640,Male,63,Group A,Part Time,Hamilton,Manufacturing,8/5/1969,Yes,Salary,Voluntary,50+,17068,569,30,5,31000.0,2
33732,Female,62,Group A,Full Time,Auckland,Exec Mgmt,9/23/1969,No,Salary,Voluntary,50+,17019,567,9,5,320000.0,3
22414,Female,64,Group A,Full Time,Manukau,IT,5/26/1970,Yes,Salary,Voluntary,50+,16774,559,13,0,110000.0,3
23294,Female,61,Group A,Full Time,Hamilton,IT,7/7/1970,No,Salary,Voluntary,50+,16732,558,1,0,96000.0,4
23700,Male,62,Group A,Full Time,Hamilton,Sales & Marketing,12/1/1970,Yes,Hourly,Voluntary,50+,16585,553,12,3,62000.0,3
23270,Female,62,Group A,Full Time,Hamilton,Exec Mgmt,2/13/1971,No,Hourly,Voluntary,50+,16511,550,8,15,233000.0,3
22600,Female,62,Group A,Full Time,Wellington,Finance,3/30/1971,Yes,Salary,Voluntary,50+,16466,549,14,3,166000.0,4
23660,Male,61,Group A,Contract,Auckland,Exec Mgmt,5/21/1971,No,Salary,Voluntary,50+,16414,547,15,2,303000.0,3
22408,Female,64,Group A,Full Time,Auckland,Finance,8/24/1971,Yes,Salary,Voluntary,50+,16319,544,15,3,96000.0,5
23662,Male,64,Group A,Full Time,Auckland,HR,8/29/1971,Yes,Hourly,Voluntary,50+,16314,544,12,2,90000.0,3
23344,Female,62,Group A,Part Time,Auckland,Manufacturing,10/7/1971,No,Hourly,Voluntary,50+,16275,543,23,0,64000.0,3
22424,Female,63,Group A,Full Time,Manukau,Finance,11/9/1971,Yes,Salary,Voluntary,50+,16242,541,3,1,151000.0,5
23668,Male,62,Group A,Full Time,Christchurch,IT,11/18/1971,Yes,Salary,Voluntary,50+,16233,541,19,2,79000.0,4
33750,Female,63,Group A,Full Time,Christchurch,Manufacturing,12/17/1971,No,Hourly,Voluntary,50+,16204,540,18,0,69000.0,5
22302,Female,62,Group A,Full Time,Dunedin,Exec Mgmt,4/19/1972,Yes,Salary,Voluntary,50+,16080,536,6,2,193000.0,3
23676,Male,67,Group A,Part Time,Wellington,HR,8/11/1972,Yes,Salary,Voluntary,50+,15966,532,1,5,82000.0,3
23174,Female,59,Group A,Contract,Wellington,Facilities,11/17/1972,Yes,Salary,Voluntary,50+,15868,529,4,0,44000.0,3
23634,Male,61,Group A,Contract,Wellington,Legal,3/6/1974,Yes,Salary,Voluntary,50+,15394,513,3,12,85000.0,3
23232,Male,66,Group A,Full Time,Hamilton,Manufacturing,7/9/1974,Yes,Salary,Voluntary,50+,15269,509,10,0,61000.0,3
23664,Male,61,Group A,Full Time,Auckland,Legal,9/10/1974,Yes,Hourly,Voluntary,50+,15206,507,31,2,116000.0,2
22426,Female,62,Group A,Contract,Auckland,HR,3/18/1975,No,Salary,Voluntary,50+,15017,501,11,3,58000.0,3
22422,Female,63,Group A,Full Time,Auckland,Legal,6/3/1975,No,Salary,Voluntary,50+,14940,498,13,7,104000.0,3
23696,Male,62,Group A,Part Time,Auckland,Research,6/11/1975,No,Hourly,Voluntary,50+,14932,498,3,1,78000.0,1
33346,Female,61,Group A,Full Time,Wellington,Finance,8/23/1975,Yes,Salary,Voluntary,50+,14859,495,24,2,121000.0,3
33324,Female,62,Group A,Part Time,Christchurch,Sales & Marketing,9/4/1975,No,Salary,Voluntary,50+,14847,495,0,1,48000.0,3
23682,Male,62,Group A,Full Time,Nelson,Manufacturing,9/30/1975,Yes,Salary,Voluntary,50+,14821,494,5,13,69000.0,3
23670,Male,59,Group A,Part Time,Auckland,Manufacturing,10/7/1975,Yes,Hourly,Voluntary,50+,14814,494,12,1,38000.0,1
33668,Male,66,Group A,Part Time,Hamilton,Manufacturing,10/7/1975,No,Hourly,Voluntary,50+,14814,494,18,12,62000.0,2
23584,Male,62,Group A,Full Time,Hamilton,Research,10/24/1975,No,Salary,Voluntary,50+,14797,493,10,0,60000.0,3
23644,Male,58,Group A,Full Time,Christchurch,Sales & Marketing,8/18/1976,Yes,Salary,Voluntary,50+,14498,483,11,13,58000.0,3
33960,Male,56,Group A,Full Time,Wellington,Legal,9/8/1976,Yes,Hourly,Involuntary,50+,14477,483,0,7,107000.0,3
24046,Male,61,Group A,Full Time,Auckland,Legal,9/7/1977,No,Salary,Voluntary,50+,14113,470,12,1,94000.0,5
23274,Female,55,Group A,Full Time,Auckland,Sales & Marketing,2/14/1978,Yes,Salary,Voluntary,50+,13953,465,26,1,80000.0,3
33060,Male,62,Group A,Part Time,Auckland,Exec Mgmt,6/17/1978,No,Salary,Voluntary,50+,13830,461,6,15,247000.0,3
23636,Male,62,Group A,Part Time,Dunedin,Facilities,7/11/1978,Yes,Hourly,Voluntary,50+,13806,460,1,1,36000.0,2
33756,Male,56,Group A,Contract,Dunedin,Facilities,10/3/1978,No,Salary,Voluntary,50+,13722,457,1,5,43000.0,3
23586,Male,62,Group A,Full Time,Hamilton,Exec Mgmt,6/12/1979,No,Salary,Voluntary,50+,13470,449,28,5,237000.0,1
24042,Male,61,Group A,Full Time,Wellington,HR,10/2/1979,Yes,Salary,Voluntary,50+,13358,445,29,2,76000.0,5
33688,Female,64,Group A,Part Time,Auckland,IT,10/16/1979,Yes,Salary,Voluntary,50+,13344,445,10,6,82000.0,2
23614,Male,55,Group A,Full Time,Hamilton,Finance,3/14/1980,Yes,Salary,Voluntary,50+,13194,440,20,5,86000.0,2
23576,Male,64,Group A,Contract,Manukau,Sales & Marketing,7/17/1980,No,Salary,Voluntary,50+,13069,436,11,7,60000.0,3
33726,Male,55,Group A,Full Time,Hamilton,Research,10/15/1980,Yes,Salary,Voluntary,50+,12979,433,5,4,99000.0,3
18300,Female,53,Group A,Full Time,Auckland,Sales & Marketing,5/5/1981,Yes,Salary,Involuntary,50+,12777,426,28,0,79000.0,3
22316,Female,68,Group A,Full Time,Christchurch,Manufacturing,9/17/1981,No,Salary,Voluntary,50+,12642,421,4,6,32000.0,5
33564,Female,51,Group A,Part Time,Nelson,Research,5/6/1982,No,Salary,Voluntary,50+,12411,414,8,6,113000.0,3
